whitney_no,root_iast,root_slp1,homonym,class,class_uncertain,gloss_short,ppp,period_tags,grouped,warnemyr_url,dcs_freq,dcs_rank,dcs_class_tag,attested_forms
1,aṃh,aMh,,,,be narrow or distressing,,B|RV|S|V,0,root_a_mh.html,0,,1,
2,akṣ,akz,1,I,,attain,,,0,root_1_ak_s.html,4,5127,5,akṣṇuhi:1|akṣiṣuḥ:1|ākṣiṣur:1|ākṣāṇe:1
3,akṣ,akz,2,V,,mutilate,,AV|B|V,0,root_2_ak_s.html,4,5127,5,akṣṇuhi:1|akṣiṣuḥ:1|ākṣiṣur:1|ākṣāṇe:1
4,aṅg,aNg,,I,,move,,,0,root_a_gg.html,4,5210,1,aṅgat:4
5,ac,ac,,I,,bend,akná,AV|B|E|RV|S|V,1,root_ac.html,0,,,
6,aj,aj,,I,,drive,-,AV|B|C|RV|S|V,0,root_aj.html,55,1741,1,aja:8|ājad:5|ājat:4|ajati:4|ajantu:3|ajā:3|ajatv:2|ajatu:2
7,añj,aYj,,I|VII,,anoint,aktá,B|C|E|RV|S|V,0,root_a_jj.html,708,231,1,anakti:90|aktam:78|anaktu:40|akta:35|aktvā:30|aktaḥ:30|ajyate:28|aktāḥ:24
8,aṭ,aw,,I,,wander,aṭita,C|E,0,root_a_t.html,60,1660,1,aṭati:13|aṭate:9|aṭan:5|aṭitvā:4|aṭamāno:2|aṭantyā:2|aṭasi:2|aṭamānas:2
9,aṇṭh,aRW,,VI,,visit,aṇṭhita,C,0,root_a_n_th.html,0,,1,
10,at,at,,I,,wander,-,B|C|RV|V,0,root_at.html,8,3959,1,atasi:4|atati:2|atamānaṃ:1|'tamānāḥ:1
11,ad,ad,,I|II,,eat,,AV|B|C|E|RV|S|V,0,root_ad.html,699,233,2,atti:133|adyāt:84|adanti:36|atta:31|adyate:29|addhi:24|atty:23|attu:19
12,an,an,,I|II|VI,,breathe,,AV|B|RV|V,0,root_an.html,10,3646,1,anati:3|anat:2|āna:2|āniṣur:1|anyāt:1|ānīt:1
13,am,am,,I|II,,injure,ānta,AV|B|E|RV|S|V,0,root_am.html,14,3186,2,amamat:9|ame:2|amanta:1|amanti:1|amīṣi:1
